variable,group,description,modeling_use,caveat
cass_0_0_or_all_zero_proxy_kl,demand_base_or_existing_proxy,Cass 0.0/All Zero 월별 수요 proxy(kL). 무·비알코올 시장 내 Cass 계열 share 가정.,Cass 0.0/All Zero 월별 수요 proxy(kL). 무·비알코올 시장 내 Cass 계열 share 가정.,실제 내부 판매량이 아니라 공개자료 기반 proxy 또는 생성값.
alcoholic_total_annual_anchor_kl,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
low_calorie_share_assumption,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
cass_fresh_share_assumption,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
cass_light_share_assumption,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
cass_zero_share_of_na_assumption,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
monthly_weight_total_beer,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
monthly_weight_low_calorie,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
monthly_weight_nonalc,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
hs2203_import_kg_actual,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
hs2203_export_kg_actual,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
google_trends_beer,demand_base_or_existing_proxy,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,
google_trends_imported_beer,demand_base_or_existing_proxy,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,
google_trends_nonalc_beer,demand_base_or_existing_proxy,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,
google_trends_cass_beer,demand_base_or_existing_proxy,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,
google_trends_cass_light,demand_base_or_existing_proxy,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,
google_trends_cass_zero_terms,demand_base_or_existing_proxy,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,Google Trends 검색 관심도. 절대 검색량이 아니라 상대 index.,
generation_formula_note,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
seoul_avg_temp_c,demand_base_or_existing_proxy,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,
seoul_avg_max_temp_c,demand_base_or_existing_proxy,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,
seoul_precipitation_mm,demand_base_or_existing_proxy,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,
seoul_hot_days_30c,demand_base_or_existing_proxy,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,
seoul_rain_days,demand_base_or_existing_proxy,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,
days_in_month,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
weekend_days,demand_base_or_existing_proxy,공휴일/주말/연휴 변수. 여행·모임·외식 수요와 유통 영업일 효과 proxy.,공휴일/주말/연휴 변수. 여행·모임·외식 수요와 유통 영업일 효과 proxy.,
public_holiday_count_kr_approx,demand_base_or_existing_proxy,공휴일/주말/연휴 변수. 여행·모임·외식 수요와 유통 영업일 효과 proxy.,공휴일/주말/연휴 변수. 여행·모임·외식 수요와 유통 영업일 효과 proxy.,
is_summer_peak_jun_aug,demand_base_or_existing_proxy,계절성 파생 변수.,계절성 파생 변수.,
is_kbo_regular_season,demand_base_or_existing_proxy,KBO 경기/시즌 변수. 야구 관람·치맥·야식/외식 수요 proxy.,KBO 경기/시즌 변수. 야구 관람·치맥·야식/외식 수요 proxy.,
weather__year,weather,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
month_num,weather,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
quarter,weather,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
weather__days_in_month,weather,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
month_sin_annual,weather,계절성 파생 변수.,계절성 파생 변수.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
month_cos_annual,weather,계절성 파생 변수.,계절성 파생 변수.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
is_winter_dec_feb,weather,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
is_spring_mar_may,weather,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
is_summer_jun_aug,weather,계절성 파생 변수.,계절성 파생 변수.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
is_autumn_sep_nov,weather,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
is_summer_peak_jul_aug,weather,계절성 파생 변수.,계절성 파생 변수.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
is_year_end_nov_dec,weather,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
is_school_vacation_approx_jan_feb_jul_aug,weather,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
weather__seoul_avg_temp_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
weather__seoul_avg_max_temp_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_avg_min_temp_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_month_max_temp_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_month_min_temp_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_avg_apparent_temp_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_avg_max_apparent_temp_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_avg_min_apparent_temp_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_month_max_apparent_temp_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
weather__seoul_precipitation_mm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_rain_mm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_snowfall_cm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_precipitation_hours,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_wet_days_0_1mm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_rain_days_1mm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_heavy_rain_days_30mm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_very_heavy_rain_days_80mm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_dry_days_lt1mm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
weather__seoul_hot_days_30c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_heatwave_warning_days_33c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_tropical_nights_25c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_freezing_days_min_lt0c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_ice_days_max_lt0c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_cold_wave_days_min_le_minus12c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_apparent_heat_days_32c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_cooling_degree_days_18c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_heating_degree_days_18c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_cooling_degree_days_26c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_wind_speed_mean_kmh_daily,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_wind_speed_max_kmh_daily,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_wind_gust_max_kmh,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_shortwave_radiation_mj_m2_sum,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_shortwave_radiation_mj_m2_daily_mean,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_daylight_hours_sum,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_sunshine_hours_sum,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_relative_humidity_mean_pct,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_relative_humidity_min_pct,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_relative_humidity_max_pct,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_hourly_temp_p95_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_hourly_apparent_temp_p95_c,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_hourly_wind_speed_mean_kmh,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_hourly_wind_speed_p95_kmh,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_air_no2_ppm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_air_o3_ppm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_air_co_ppm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_air_so2_ppm,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
seoul_pm10_ug_m3,weather,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,서울 기준 날씨/환경 변수. 맥주 수요의 계절성·야외활동·체감더위/대기질 효과를 설명.,Open-Meteo 격자형 archive 및 서울 중구 대기질 proxy. 공식 ASOS/전국 평균 아님.
